Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
1,241,PATRICK BROWN,M,30-34,MET POLICE TRI,0:05:57,0:01:24,0:27:51,0:00:52,0:10:30,0:46:36,
2,216,DAVID KNIGHT,M,35-39,Hillingdon Triathletes,0:06:36,0:01:13,0:28:35,0:00:39,0:11:04,0:48:09,+00:01:33
3,248,JONATHAN HORSMAN,M,45-49,Crystal Palace Triathletes,0:05:52,0:01:23,0:30:53,0:00:38,0:10:42,0:49:30,+00:02:54
4,253,Andrew Cackett,M,30-34,,0:05:21,0:01:36,0:31:08,0:00:41,0:10:49,0:49:37,+00:03:01
5,225,JEAN-JULIEN TRINEZ,M,17-19,DOUAI,0:06:08,0:01:10,0:30:19,0:00:52,0:11:27,0:49:58,+00:03:22
6,254,DAVID ARNAUD,M,35-39,ESC D3 TRIATHLON,0:05:29,0:01:20,0:31:12,0:00:40,0:11:33,0:50:15,+00:03:39
7,198,MARK TREMLETT,M,45-49,,0:06:40,0:01:37,0:30:18,0:00:50,0:11:25,0:50:53,+00:04:17
8,239,Robert Coxhead,M,45-49,MET POLICE TRI,0:06:07,0:01:23,0:30:20,0:00:41,0:12:23,0:50:57,+00:04:21
9,179,David Micklewright,M,45-49,Hillingdon Triathletes,0:07:16,0:01:32,0:29:37,0:00:38,0:12:03,0:51:09,+00:04:33
10,251,MARK SCOTT,M,45-49,,0:06:20,0:01:19,0:31:11,0:00:41,0:11:44,0:51:17,+00:04:41
11,245,NICK MCCHESNEY,M,45-49,SERPENTINE,0:05:42,0:01:30,0:31:06,0:00:51,0:12:07,0:51:18,+00:04:42
12,229,STUART REILLY,M,35-39,Hillingdon Triathletes,0:06:25,0:01:28,0:29:59,0:00:51,0:13:06,0:51:52,+00:05:16
13,208,Jean Nido,M,50-54,DOUAI,0:06:48,0:01:25,0:31:40,0:00:51,0:11:48,0:52:35,+00:05:59
14,194,MATHIEU DAVY,M,30-34,ESC D3 TRIATHLON,0:07:25,0:01:21,0:29:07,0:00:39,0:14:09,0:52:43,+00:06:07
15,182,Stuart McGowan,M,60-64,Bike and Run London,0:07:13,0:01:28,0:31:25,0:00:38,0:12:00,0:52:47,+00:06:11
16,217,MICHAEL MORRIS,M,55-59,Thames Turbo Triathlon Club,0:06:49,0:01:33,0:31:21,0:00:36,0:12:25,0:52:47,+00:06:11
17,218,IAN CARVETH,M,40-44,ESC D3 TRIATHLON,0:06:12,0:01:23,0:32:32,0:01:10,0:11:38,0:52:58,+00:06:22
18,174,JAMES FALSHAW,M,45-49,Crystal Palace Triathletes,0:06:53,0:01:14,0:32:58,0:00:47,0:11:11,0:53:06,+00:06:30
19,141,Peter Mc Dermott,M,45-49,Jetstream Tri Club,0:07:52,0:01:25,0:31:22,0:00:44,0:11:44,0:53:09,+00:06:33
20,235,YOLANDA EDWARDS,F,25-29,Hillingdon Triathletes,0:06:25,0:01:28,0:32:14,0:00:45,0:12:15,0:53:09,+00:06:33
21,237,Jacob Gloor,M,45-49,Hillingdon Triathletes,0:05:58,0:01:31,0:30:59,0:01:01,0:13:45,0:53:15,+00:06:39
22,232,Matthew Capp,M,50-54,Jetstream Tri Club,0:06:26,0:01:25,0:32:43,0:00:46,0:12:28,0:53:50,+00:07:14
23,178,STEPHEN MORRIS,M,40-44,ESC D3 TRIATHLON,0:07:50,0:01:34,0:32:23,0:00:50,0:11:18,0:53:56,+00:07:20
24,250,MARK SPEIGHT,M,17-19,,0:06:03,0:01:20,0:34:28,0:00:42,0:11:26,0:54:01,+00:07:25
25,255,David Savory,M,20-24,ESC D3 TRIATHLON,0:05:43,0:01:31,0:30:38,0:00:40,0:15:34,0:54:09,+00:07:33
26,146,IAN GOULD,M,45-49,Hillingdon Triathletes,0:08:00,0:01:57,0:31:22,0:00:41,0:12:09,0:54:11,+00:07:35
27,228,PHIL SMITH,M,45-49,Hillingdon Triathletes,0:06:02,0:01:43,0:33:08,0:00:53,0:12:31,0:54:19,+00:07:43
28,181,Adam Norfolk,M,30-34,London Fire Brigade,0:07:10,0:01:16,0:34:02,0:00:32,0:11:21,0:54:24,+00:07:48
29,231,DYLAN SLANEY,M,35-39,Hillingdon Triathletes,0:06:21,0:01:41,0:31:53,0:01:03,0:13:28,0:54:28,+00:07:52
30,242,HELEN MUSSEN,F,35-39,SERPENTINE,0:05:43,0:01:52,0:33:46,0:00:44,0:12:29,0:54:36,+00:08:00
31,131,JEAN-MICHEL GALLET,M,40-44,DOUAI,,,0:35:43,0:00:57,0:07:51,0:54:45,+00:08:09
32,252,Gabriella Lai,F,20-24,ESC D3 TRIATHLON,0:05:12,0:01:35,0:34:08,0:00:42,0:13:23,0:55:03,+00:08:27
33,243,VANESSA TAYLOR,F,40-44,Hillingdon Triathletes,0:05:55,0:01:48,0:34:08,0:00:57,0:12:22,0:55:12,+00:08:36
34,221,Colette O'neill,F,40-44,theartoftri,0:06:59,0:01:24,0:33:18,0:00:52,0:12:38,0:55:13,+00:08:37
35,206,Paul Cinnamon,M,50-54,,0:07:08,0:01:35,0:32:40,0:00:42,0:13:13,0:55:20,+00:08:44
36,176,GUY DAUNCEY,M,35-39,,0:07:20,0:01:27,0:33:50,0:00:55,0:11:46,0:55:21,+00:08:45
37,213,Matthew Savory,M,20-24,ESC D3 TRIATHLON,0:07:11,0:01:46,0:33:46,0:00:48,0:11:51,0:55:24,+00:08:48
38,204,SALVATORE BELLU,M,45-49,DOUAI,0:07:09,0:01:54,0:32:46,0:01:08,0:12:35,0:55:34,+00:08:58
39,233,MARK LOMAX,M,40-44,,0:06:15,0:01:48,0:33:46,0:00:38,0:13:07,0:55:37,+00:09:01
40,227,FredÉric Janura,M,35-39,DOUAI,0:06:27,0:02:01,0:32:51,0:00:58,0:13:25,0:55:43,+00:09:07
41,126,MARTIN BOWD,M,45-49,Hillingdon Triathletes,0:08:06,0:01:49,0:32:41,0:00:38,0:12:33,0:55:48,+00:09:12
42,215,NICOLE OH,F,30-34,THETRILIFE.COM,0:06:53,0:01:38,0:32:10,0:00:55,0:14:14,0:55:53,+00:09:17
43,220,Colin Kirk,M,50-54,ESC D3 TRIATHLON,0:06:56,0:01:43,0:33:37,0:00:54,0:12:44,0:55:56,+00:09:20
44,210,MATTHEW RUCK,M,40-44,,0:06:58,0:01:57,0:33:00,0:00:58,0:13:08,0:56:03,+00:09:27
45,72,David Newman,M,50-54,Hillingdon Triathletes,0:09:44,0:02:15,0:31:41,0:00:46,0:11:44,0:56:12,+00:09:36
46,223,TIMOTHY BYRNE,M,35-39,Hillingdon Triathletes,0:07:32,0:01:56,0:33:33,0:00:37,0:12:43,0:56:23,+00:09:47
47,165,LAURENT RATON,M,35-39,DOUAI,0:08:14,0:01:58,0:33:47,0:01:00,0:11:29,0:56:31,+00:09:55
48,234,RAVI RAJA,M,17-19,Jetstream Tri Club,0:06:03,0:02:23,0:35:39,0:00:41,0:11:45,0:56:33,+00:09:57
49,247,IAN TAPLIN,M,45-49,HILLINGDON SWIMMING CLUB,0:06:31,0:02:20,0:33:36,0:00:56,0:13:07,0:56:33,+00:09:57
50,226,CORENTIN CALLAERT,M,17-19,DOUAI,0:06:17,0:02:36,0:34:18,0:01:03,0:12:20,0:56:36,+00:10:00
51,214,Holly Grundon,F,25-29,Hillingdon Triathletes,0:06:34,0:01:36,0:35:29,0:00:51,0:12:27,0:56:59,+00:10:23
52,192,PETER ROSS,M,45-49,,0:06:54,0:02:11,0:33:54,0:00:55,0:13:06,0:57:02,+00:10:26
53,202,Sarah Percival,F,45-49,ESC D3 TRIATHLON,0:07:14,0:01:56,0:34:02,0:00:51,0:12:58,0:57:04,+00:10:28
54,171,ALISON BOWEN,F,40-44,,0:07:16,0:01:49,0:34:42,0:01:06,0:12:18,0:57:14,+00:10:38
55,70,LEO SHAW,M,30-34,,0:06:41,0:03:26,0:34:52,0:01:20,0:11:01,0:57:21,+00:10:45
