Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
1,872,ANTHONY ANDERSON,M,TS2,Thames Turbo Triathlon Club,0:03:28,0:01:20,0:07:24,0:00:31,0:07:17,0:20:02,
2,889,Robert Hall,M,TS2,AMERSHAM TRISTARS,0:03:11,0:01:27,0:08:14,0:00:32,0:06:51,0:20:18,+00:00:16
3,893,Melanie HALL,F,TS2,Harrow AC,0:02:47,0:01:22,0:09:03,0:00:32,0:07:09,0:20:56,+00:00:54
4,885,REEF BOERICKE,M,TS2,OPTIMA RACING TEAM,0:03:35,0:01:29,0:08:34,0:00:32,0:07:09,0:21:21,+00:01:19
5,898,RORY JACK,M,TS2,OPTIMA RACING TEAM,0:03:11,0:01:20,0:09:09,0:00:30,0:07:17,0:21:29,+00:01:27
6,869,JAMES WAKEFIELD,M,TS2,,0:03:32,0:01:46,0:08:24,0:00:37,0:07:24,0:21:45,+00:01:43
7,875,NICHOLAS COWLEY-ANDREA,M,TS2,,0:03:14,0:01:43,0:08:51,0:00:34,0:07:29,0:21:53,+00:01:51
8,828,GEORGE KERRY,M,TS2,,0:03:52,0:01:23,0:09:17,0:00:42,0:07:03,0:22:19,+00:02:17
9,847,ISAAC BROWN,M,TS2,Crystal Palace Triathletes,0:04:41,0:01:47,0:08:15,0:00:40,0:06:54,0:22:21,+00:02:19
10,899,GEORGE TAPLIN,M,TS2,HILLINGDON SWIMMING CLUB,0:02:39,0:01:58,0:09:25,0:00:34,0:07:46,0:22:24,+00:02:22
11,880,RACHEL PADWICK,F,TS2,AMERSHAM TRISTARS,0:03:17,0:01:29,0:09:12,0:00:35,0:07:58,0:22:33,+00:02:31
12,887,ALBIE TREMLETT,M,TS2,,0:03:11,0:01:33,0:10:04,0:00:39,0:07:06,0:22:35,+00:02:33
13,855,Oliver Mcchesney,M,TS2,Rosslyn Park,0:03:32,0:01:56,0:08:57,0:00:43,0:07:35,0:22:45,+00:02:43
14,891,Nicholas Hawkins,M,TS2,Jetstream Tri Club,0:03:21,0:01:24,0:09:33,0:00:34,0:07:56,0:22:50,+00:02:48
15,896,Caitlin Thomson,F,TS2,Thames Turbo Triathlon Club,0:02:56,0:01:22,0:09:41,0:00:34,0:08:25,0:23:00,+00:02:58
16,845,HARRY HORSMAN,M,TS2,Crystal Palace Triathletes,0:03:43,0:01:46,0:08:42,0:00:44,0:08:40,0:23:37,+00:03:35
17,884,CIARA LEWIS,F,TS2,Thames Turbo Triathlon Club,0:03:21,0:01:31,0:09:20,0:00:37,0:08:56,0:23:47,+00:03:45
18,877,ISABELLA HOTTON,F,TS2,,0:03:34,0:01:56,0:09:29,0:00:34,0:08:27,0:24:02,+00:04:00
19,842,Tammy FALSHAW,F,TS2,Crystal Palace Triathletes,0:03:47,0:01:32,0:10:43,0:00:36,0:07:23,0:24:03,+00:04:01
20,883,DANIEL BARLOW,M,TS2,OPTIMA RACING TEAM,0:03:36,0:01:35,0:10:35,0:00:42,0:07:50,0:24:20,+00:04:18
21,870,BEN SCOTT,M,TS2,HILLINGDON SWIMMING CLUB,0:03:38,0:01:25,0:10:38,0:00:37,0:08:05,0:24:25,+00:04:23
22,826,TABITHA NUTT,F,TS2,Thames Turbos,0:03:59,0:01:31,0:10:19,0:00:36,0:07:59,0:24:27,+00:04:25
23,823,SIANA DENNIS,F,TS2,Thames Turbo Triathlon Club,0:03:51,0:01:21,0:09:55,0:00:40,0:08:39,0:24:28,+00:04:26
24,843,Emma Wolfendale,F,TS2,Thames Turbo Triathlon Club,0:03:49,0:01:22,0:09:56,0:00:38,0:08:47,0:24:34,+00:04:32
25,850,CAMERON CHISHOLM,M,TS2,Thames Turbo Triathlon Club,0:03:44,0:01:42,0:09:40,0:00:59,0:08:30,0:24:37,+00:04:35
26,890,LUCAS BOARDMAN,M,TS2,Bethnal Green Sharks,0:03:07,0:01:38,0:10:57,0:00:33,0:08:24,0:24:41,+00:04:39
27,862,JOSEPH OUTTRIM,M,TS2,Harrow AC,0:04:11,0:02:10,0:09:50,0:00:36,0:08:01,0:24:51,+00:04:49
28,852,ELLE HORSMAN,F,TS2,Crystal Palace Triathletes,0:03:34,0:01:33,0:09:58,0:00:39,0:09:12,0:24:58,+00:04:56
29,863,DOMINIC KING,M,TS2,Crystal Palace Triathletes,0:04:34,0:01:29,0:09:33,0:00:37,0:08:52,0:25:07,+00:05:05
30,886,EMMA BERRY,F,TS2,Ealing Swimming Club,0:03:10,0:01:45,0:10:04,0:00:40,0:09:29,0:25:10,+00:05:08
31,879,Dana JABRE,F,TS2,OPTIMA RACING TEAM,0:03:28,0:01:31,0:11:17,0:00:46,0:08:15,0:25:20,+00:05:18
32,878,AISHA JONES,F,TS2,Jetstream Tri Club,0:03:27,0:01:55,0:10:12,0:00:47,0:09:01,0:25:25,+00:05:23
33,846,TOM DAVIES,M,TS2,,0:03:59,0:01:51,0:10:38,0:00:39,0:08:17,0:25:26,+00:05:24
34,854,ERICA WALLACE,F,TS2,,0:03:40,0:01:35,0:11:11,0:00:36,0:08:22,0:25:26,+00:05:24
35,821,Lawson Bowles,M,TS2,Thames Turbo Triathlon Club,0:04:39,0:01:55,0:10:14,0:00:43,0:08:09,0:25:41,+00:05:39
36,882,DANIEL OWEN,M,TS2,,0:04:18,0:01:39,0:10:18,0:00:40,0:09:10,0:26:07,+00:06:05
37,801,ELLEN FRASER,F,TS2,Thames Turbo Triathlon Club,0:04:14,0:01:35,0:10:37,0:00:36,0:09:25,0:26:30,+00:06:28
38,874,RACHEL AYRTON,F,TS2,,0:03:08,0:02:06,0:11:03,0:00:40,0:09:33,0:26:32,+00:06:30
39,804,JOSH COPLEY,M,TS2,,0:04:44,0:02:35,0:09:54,0:00:37,0:08:40,0:26:33,+00:06:31
40,822,LYDIA ARDEN,F,TS2,Thames Turbo Triathlon Club,0:03:47,0:01:40,0:11:14,0:00:42,0:09:18,0:26:44,+00:06:42
41,894,JESSICA BREW,F,TS2,,0:03:14,0:01:53,0:11:55,0:00:41,0:09:11,0:26:56,+00:06:54
42,824,Shiva Basu,F,TS2,Hillingdon Triathletes,0:04:04,0:02:01,0:11:16,0:00:40,0:09:19,0:27:21,+00:07:19
43,838,ROWENA GUILDFORD,F,TS2,THAMES TURBO,0:04:21,0:01:37,0:11:02,0:00:37,0:09:50,0:27:30,+00:07:28
44,844,ISHMAEL ALLMAN,M,TS2,,0:03:54,0:03:18,0:11:10,0:00:44,0:08:31,0:27:40,+00:07:38
45,818,NIKLAS PUSEY,M,TS2,Crystal Palace Triathletes,0:04:02,0:02:31,0:10:25,0:00:53,0:09:52,0:27:45,+00:07:43
46,865,RAFAEL RABINOWITZ,M,TS2,,0:05:00,0:02:18,0:10:50,0:00:44,0:08:50,0:27:45,+00:07:43
47,836,ROWE KEELAN,M,TS2,,0:05:22,0:01:47,0:11:49,0:00:44,0:08:16,0:28:00,+00:07:58
48,816,TOM PRENDERGAST,M,TS2,,,,,,,0:28:01,+00:07:59
49,859,MAX MISRAHI,M,TS2,,0:05:03,0:01:42,0:11:45,0:00:39,0:09:10,0:28:21,+00:08:19
