Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Lap1,Lap2,Lap3,Cycle,T2,Run,Gun Time, Time Difference
1,413,"NICHOLAS COWLEY-ANDREA",M,TS2,"Thames Valley Harriers",00:02:54,00:01:37,00:03:03,00:03:01,,00:09:02,00:00:51,00:06:17,00:20:43,
2,401,"REEF BOERICKE",M,TS2,"OPTIMA RACING TEAM",00:03:27,00:01:29,00:03:08,00:02:59,,00:08:50,00:00:40,00:07:14,00:21:41,+00:00:58
3,376,"Oliver Mcchesney",M,TS2,,00:03:24,00:01:38,00:03:11,00:03:18,,00:09:27,00:00:39,00:07:13,00:22:23,+00:01:40
4,421,"ALICE PATTERSON",F,TS2,"THAMES TURBO",00:02:48,00:01:27,00:03:31,00:03:23,,00:10:37,00:00:40,00:07:05,00:22:39,+00:01:56
5,405,"Sinead CLARK",F,TS2,"East Essex Triathlon Club",00:03:24,00:01:48,00:02:54,00:03:27,,00:09:56,00:00:42,00:06:53,00:22:44,+00:02:01
6,424,"Lizzie Barraclough",F,TS2,"AMERSHAM TRISTARS",00:03:07,00:02:10,00:02:39,00:03:22,,00:09:12,00:00:28,00:07:58,00:22:57,+00:02:14
7,393,"HARRY HORSMAN",M,TS2,"Crystal Palace Triathletes",00:03:51,00:01:25,00:03:13,00:03:14,,00:09:27,00:00:45,00:07:34,00:23:03,+00:02:20
8,412,"Ben Scott",M,TS2,"HILLINGDON SWIMMING CLUB",00:03:11,00:01:27,00:03:39,00:03:35,,00:10:27,00:00:40,00:07:40,00:23:27,+00:02:44
9,369,"SIANA DENNIS",F,TS2,"Thames Turbo Triathlon Club",00:03:37,00:01:30,00:03:29,00:03:30,,00:10:15,00:00:25,00:07:50,00:23:38,+00:02:55
10,352,"GEORGE KERRY",M,TS2,,00:03:37,00:01:25,00:03:33,00:03:42,,00:11:21,00:00:39,00:06:36,00:23:40,+00:02:57
11,398,"SAMUEL PAINTER",M,TS2,,00:03:41,00:02:09,00:02:49,00:03:34,,00:09:14,00:00:55,00:08:09,00:24:09,+00:03:26
12,425,"Lucas Dyson-Diaz",M,TS2,"Harrow Swimming Club",00:02:53,00:01:40,00:03:30,00:03:36,,00:10:27,00:00:39,00:08:28,00:24:09,+00:03:26
13,377,"Tammy FALSHAW",F,TS2,"CRYSTAL PALACE TRI",00:03:31,00:01:22,00:03:51,00:03:55,,00:11:28,00:00:39,00:07:19,00:24:21,+00:03:38
14,367,"FREYA THOMSON",F,TS2,"THAMES TURBO",00:03:37,00:01:35,00:03:39,00:03:51,,00:11:17,00:00:50,00:07:05,00:24:25,+00:03:42
15,414,"Sam FREEDMAN",M,TS2,,00:03:29,00:01:27,00:03:38,00:03:49,,00:11:04,00:00:58,00:07:39,00:24:39,+00:03:56
16,396,"ELLE HORSMAN",F,TS2,"Crystal Palace Triathletes",00:03:29,00:01:52,00:03:15,00:03:55,,00:10:49,00:00:28,00:08:20,00:25:00,+00:04:17
17,420,"TOM SIMPSON",M,TS2,"GREENWICH TRITONS",00:03:29,00:01:44,00:03:42,00:03:57,,00:11:24,00:00:32,00:07:52,00:25:02,+00:04:19
18,402,"JEMIMA HALL",F,TS2,,00:03:06,00:01:29,00:03:55,00:04:00,,00:12:17,00:00:41,00:07:38,00:25:13,+00:04:30
19,337,"ETHAN MULLEN",M,TS2,"THAMES TURBO",00:04:16,00:01:31,00:03:46,00:03:47,,00:11:35,00:00:39,00:07:11,00:25:14,+00:04:31
20,416,"Ruby PENNEY",F,TS2,"Thames Turbo Triathlon Club",00:04:19,00:01:28,00:03:49,00:03:44,,00:10:58,00:00:29,00:08:12,00:25:28,+00:04:45
21,354,"KIERAN DESMOND",M,TS2,"Thames Turbo Triathlon Club",00:04:04,00:01:48,00:03:31,00:03:45,,00:10:50,00:00:28,00:08:31,00:25:43,+00:05:00
22,415,"Callum Smyth",M,TS2,"Jetstream Tri Club",00:03:24,00:01:45,00:03:57,00:04:02,,00:11:51,00:00:41,00:08:01,00:25:44,+00:05:01
23,409,"Axel PELISSIER",M,TS2,,00:03:56,00:02:13,00:03:23,00:03:31,,00:11:13,00:00:42,00:07:41,00:25:46,+00:05:03
24,406,"JAMES LEWIS",M,TS2,"Thames Turbo Triathlon Club",00:03:45,00:02:10,00:03:36,00:03:44,,00:10:52,00:00:41,00:08:39,00:26:09,+00:05:26
25,388,"ISABEL ATKINS",F,TS2,,00:04:24,00:01:52,00:03:57,00:03:48,,00:11:22,00:00:38,00:07:59,00:26:16,+00:05:33
26,364,"TIMOTHY WALLACE",M,TS2,,00:03:48,00:02:09,00:03:52,00:04:12,,00:11:58,00:00:35,00:08:03,00:26:35,+00:05:52
27,358,"TOM WILLIAMSON",M,TS2,"Jetstream Tri Club",00:03:52,00:01:47,00:03:54,00:03:58,,00:11:30,00:00:30,00:08:55,00:26:36,+00:05:53
28,383,"Jack Neale",M,TS2,"EAST ESSEX TRI CLUB",00:03:54,00:01:48,00:03:37,00:03:40,,00:10:44,00:00:39,00:09:33,00:26:40,+00:05:57
29,378,"DANIEL BARLOW",M,TS2,"OPTIMA RACING TEAM",00:03:39,00:01:45,00:04:01,00:04:09,,00:12:04,00:00:44,00:08:32,00:26:47,+00:06:04
30,355,"Joseph YEE",M,TS2,"Crystal Palace Triathletes",00:04:16,00:01:51,00:03:21,00:03:33,,00:10:17,00:00:50,00:09:34,00:26:50,+00:06:07
31,353,"Arthur Medforth",M,TS2,"ESC D3 TRIATHLON",00:02:51,00:01:43,00:04:28,00:04:38,,00:13:32,00:00:40,00:08:14,00:27:03,+00:06:20
32,408,"LAURA HOWLEY",F,TS2,"THAMES TURBO",00:03:44,00:01:54,00:04:16,00:04:10,,00:12:17,00:00:32,00:08:44,00:27:13,+00:06:30
33,390,"NOAH SUGARMAN",M,TS2,,00:04:39,00:02:15,00:03:56,00:04:12,,00:11:57,00:00:37,00:08:15,00:27:46,+00:07:03
34,389,"JOSHUA SILVERBECK",M,TS2,,00:03:09,00:01:40,00:04:37,00:04:52,,00:13:48,00:00:29,00:08:52,00:28:00,+00:07:17
35,374,"EDWARD MCEVOY",M,TS2,"Brent Dolphins swimming Club",00:04:18,00:02:29,00:03:57,00:04:02,,00:12:35,00:00:37,00:08:04,00:28:05,+00:07:22
36,423,"Katie Chapman",F,TS2,"HILLINGDON SWIMMING CLUB",00:03:04,00:02:07,00:04:50,00:04:00,,00:13:28,00:00:39,00:08:58,00:28:18,+00:07:35
37,342,"Jimmy GIBSON",M,TS2,"Thames Turbo Triathlon",00:04:17,00:02:10,00:04:26,00:03:59,,00:12:05,00:00:45,00:09:00,00:28:18,+00:07:35
38,359,"WILLIAM BEESTON",M,TS2,,00:04:24,00:02:01,00:04:44,00:04:33,,00:13:36,00:00:34,00:07:46,00:28:22,+00:07:39
39,332,"Zak Copley",M,TS2,,00:04:23,00:02:20,00:04:18,00:04:08,,00:12:22,00:00:26,00:09:24,00:28:57,+00:08:14
40,326,"LUIGI MEDRIR",M,TS2,"THAMES TURBO",00:04:03,00:01:42,00:04:32,00:04:26,,00:13:08,00:00:31,00:09:40,00:29:07,+00:08:24
41,399,"DANIEL OWEN",M,TS2,"Thames Turbo Triathlon Club",00:04:04,00:01:43,00:04:15,00:04:11,,00:12:16,00:00:35,00:10:31,00:29:10,+00:08:27
42,382,"LEWIS HUMPHREYS",M,TS2,,00:04:07,00:02:34,00:03:56,00:03:54,,00:12:31,00:00:40,00:09:19,00:29:14,+00:08:31
43,404,"ISABEL HIGHSTED",F,TS2,,00:03:31,00:02:07,00:04:06,00:04:27,,00:12:40,00:00:41,00:10:27,00:29:28,+00:08:45
